Inmobiliaria,Presentation,Imagen_Inmobiliaria,URL_Inmobiliaria,Proyecto,Distrito_Proyecto,URL_Proyecto,Direccion_Proyecto,Tipo_Proyecto,Estado_Proyecto,Release_Date_Proyecto,Banco_Proyecto,Modelo_Vivienda,NroPiso_Vivienda,NroDormitorios_Vivienda,Area_Vivienda,Precio_Vivienda,Unidades_Vivienda,URL_Image_Vivienda,Areas_Comunes_Vivienda
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Santa Irene,Magdalena Del Mar,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1266-santa-irene-magdalena-del-mar-lima-lima-rb-arquitectura,JR. SAN MARTIN 290Orbea - Magdalena Del Mar,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,A,Piso:4,3,82.26m2,"$139,842",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1266-santa-irene/planos-santa-irene-5bad40a4ae348_s.jpg,"Lobby,Video vigilancia,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Santa Irene,Magdalena Del Mar,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1266-santa-irene-magdalena-del-mar-lima-lima-rb-arquitectura,JR. SAN MARTIN 290Orbea - Magdalena Del Mar,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,C,Piso:5,3,85.04m2,"$140,316",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1266-santa-irene/planos-santa-irene-5bad40d7acf52_s.jpg,"Lobby,Video vigilancia,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Santa Irene,Magdalena Del Mar,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1266-santa-irene-magdalena-del-mar-lima-lima-rb-arquitectura,JR. SAN MARTIN 290Orbea - Magdalena Del Mar,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,D,Piso:5,3,88.63m2,"$146,240",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1266-santa-irene/planos-santa-irene-5bad40ecc90cd_s.jpg,"Lobby,Video vigilancia,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Santa Irene,Magdalena Del Mar,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1266-santa-irene-magdalena-del-mar-lima-lima-rb-arquitectura,JR. SAN MARTIN 290Orbea - Magdalena Del Mar,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,E,Piso:5,2,64.72m2,"$102,905",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1266-santa-irene/planos-santa-irene-5bad413c93724_s.jpg,"Lobby,Video vigilancia,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Santa Irene,Magdalena Del Mar,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1266-santa-irene-magdalena-del-mar-lima-lima-rb-arquitectura,JR. SAN MARTIN 290Orbea - Magdalena Del Mar,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,F,Piso:5,2,90.39m2,"$104,400",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1266-santa-irene/planos-santa-irene-5bad4157ecb6d_s.jpg,"Lobby,Video vigilancia,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Alma Las Moras,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1044-alma-las-moras-miraflores-lima-lima-rb-arquitectura,CALLE LAS MORAS 375 - Miraflores,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,101,Piso:1,1,152.94m2,"$278,000",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1044-alma-las-moras/planos-alma-las-moras-5ae2566fbc585_s.jpg,"Areas verdes,Ascensor directo,Cuarto servicio,Lobby,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Alma Las Moras,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1044-alma-las-moras-miraflores-lima-lima-rb-arquitectura,CALLE LAS MORAS 375 - Miraflores,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,301,Piso:3,2,155.50m2,"$354,000",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1044-alma-las-moras/planos-alma-las-moras-5ae2566fd80d3_s.jpg,"Areas verdes,Ascensor directo,Cuarto servicio,Lobby,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Alma Las Moras,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1044-alma-las-moras-miraflores-lima-lima-rb-arquitectura,CALLE LAS MORAS 375 - Miraflores,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,401,Piso:4,2,155.50m2,"$354,000",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1044-alma-las-moras/planos-alma-las-moras-5ae2566fdd68a_s.jpg,"Areas verdes,Ascensor directo,Cuarto servicio,Lobby,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Alma Las Moras,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1044-alma-las-moras-miraflores-lima-lima-rb-arquitectura,CALLE LAS MORAS 375 - Miraflores,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,202,Piso:2,3,180.55m2,"$397,210",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1044-alma-las-moras/planos-alma-las-moras-5ae2566fd2766_s.jpg,"Areas verdes,Ascensor directo,Cuarto servicio,Lobby,"
RB ARQUITECTURA,"Somos una empresa especializada en el desarrollo y ejecución de Proyecto Integrales de: Viviendas, Comerciales , Industriales y Habilitaciones urbanas con de 15 años de experiencia en el rubro Inmobiliario.
RB Arquitectura Y Construcción S.A.C. esta formada por profesionales con experiencia y capacidad innovadora en la dirección de equipos multidisciplinarios para llevar a cabo el análisis de la factibilidad, programación, diseño y ejecución de los proyectos.",https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/logo-139-20180522191824.jpg,https://nexoinmobiliario.pe/inmobiliaria/rb-arquitectura-y-construccion,Santa Irene,Magdalena Del Mar,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1266-santa-irene-magdalena-del-mar-lima-lima-rb-arquitectura,JR. SAN MARTIN 290Orbea - Magdalena Del Mar,Departamento,Enconstrucción,"30deDiciembre,2019",BancoContinental,A,Piso:4,3,82.26m2,"$139,842",1,https://dp34qvsykz8fe.cloudfront.net/customers/rb-arquitectura-y-construccion/1266-santa-irene/planos-santa-irene-5bad40a4ae348_s.jpg,"Lobby,Video vigilancia,"
