Inmobiliaria,Presentation,Imagen_Inmobiliaria,URL_Inmobiliaria,Proyecto,Distrito_Proyecto,URL_Proyecto,Direccion_Proyecto,Tipo_Proyecto,Estado_Proyecto,Release_Date_Proyecto,Banco_Proyecto,Modelo_Vivienda,NroPiso_Vivienda,NroDormitorios_Vivienda,Area_Vivienda,Precio_Vivienda,Unidades_Vivienda,URL_Image_Vivienda,Areas_Comunes_Vivienda
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,TIPO1,Pisos:Entre2al22,2,66.50m2,"S/348,036",19,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d559e2338b18_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,TIPO2,Pisos:Entre2al22,2,68.15m2,"S/356,175",20,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d559e3f3ca5e_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,TIPO3,Pisos:Entre2al14,3,76.60m2,"S/402,990",13,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d559eae9ddfe_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,TIPO4,Pisos:Entre2al13,3,76.50m2,"S/404,413",11,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d559ec52f4cd_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,TIPO5,Pisos:Entre2al14,3,77.25m2,"S/406,240",13,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d559ed5beb33_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,1404,Piso:14,2,75.95m2,"S/387,241",1,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d559ee98f455_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,TIPO3-B,Pisos:15y16,3,77.60m2,"S/406,041",2,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d5599b6c5d61_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,TIPO3-C,Pisos:Entre17al22,3,77.60m2,"S/445,214",6,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d5599f677c06_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Ambar,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,Avenida Brasil 2363 - Jesús María - Jesus Maria,Departamento,Enplanos,"30deDiciembre,2021",BancoBCP,1504,Piso:15,3,89.95m2,"S/462,504",1,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1561-ambar/planos-ambar-5d559e017e6a1_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de usos Múltiples,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
MARTE,"MARTE Grupo Inmobiliario es un sólido grupo empresarial de capitales peruanos que gerencia, desarrolla y construye proyectos inmobiliarios con un alto grado de responsabilidad y calidad. Enfocamos nuestro producto inmobiliario a satisfacer las necesidades del mercado objetivo y mejorar la calidad de vida de nuestros clientes. El talento y pasión de nuestro staff de profesionales es nuestro mayor valor para poder brindarle una atención personalizada y responsable. El compromiso con nuestros clientes y la alta exigencia en controles de calidad hacen de MARTE Grupo Inmobiliario un referente importante del mercado.",https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/logo-60-20180522191823.jpg,https://nexoinmobiliario.pe/inmobiliaria/marte-grupo-inmobiliario,Torre Escobedo 21,Jesus Maria,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1335-torre-escobedo-21-jesus-maria-lima-lima-marte,AV. GREGORIO ESCOBEDO 532Villa Fap San Felipe - Jesus Maria,Departamento,Enplanos,"31deAgosto,2021",BancoContinental,1,Pisos:Entre5al18,3,86.50m2,"S/585,907",10,https://dp34qvsykz8fe.cloudfront.net/customers/marte-grupo-inmobiliario/1335-torre-escobedo-21/planos-torre-escobedo-21-5cdc4605304c6_s.jpg,"Área de juegos para niños,Lobby,	Sala Bar,Sala de Niños,Sala de usos Múltiples,Terraza,Zona de Parrillas,"
