Inmobiliaria,Presentation,Imagen_Inmobiliaria,URL_Inmobiliaria,Proyecto,Distrito_Proyecto,URL_Proyecto,Direccion_Proyecto,Tipo_Proyecto,Estado_Proyecto,Release_Date_Proyecto,Banco_Proyecto,Modelo_Vivienda,NroPiso_Vivienda,NroDormitorios_Vivienda,Area_Vivienda,Precio_Vivienda,Unidades_Vivienda,URL_Image_Vivienda,Areas_Comunes_Vivienda
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Nueva Aurora 2,Surquillo,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1545-nueva-aurora-2-surquillo-lima-lima-vienna-grupo-inmobiliario,Av Sergio Bernales 272 Barrio Médico.Barrio Medico - Surquillo,Departamento,Enconstrucción,"30deNoviembre,2020",BancoBCP,1,Pisos:Entre2al9,3,75.98m2,"$137,900",7,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1545-nueva-aurora-2/planos-nueva-aurora-2-5d744925da3cc_s.png,"Lobby,	Sala Bar,Sala de usos Múltiples,Techo Panorámico,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Nueva Aurora 2,Surquillo,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1545-nueva-aurora-2-surquillo-lima-lima-vienna-grupo-inmobiliario,Av Sergio Bernales 272 Barrio Médico.Barrio Medico - Surquillo,Departamento,Enconstrucción,"30deNoviembre,2020",BancoBCP,2,Pisos:Entre2al14,3,75.16m2,"$136,500",10,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1545-nueva-aurora-2/planos-nueva-aurora-2-5d744946ab8f4_s.png,"Lobby,	Sala Bar,Sala de usos Múltiples,Techo Panorámico,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Nueva Aurora 2,Surquillo,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1545-nueva-aurora-2-surquillo-lima-lima-vienna-grupo-inmobiliario,Av Sergio Bernales 272 Barrio Médico.Barrio Medico - Surquillo,Departamento,Enconstrucción,"30deNoviembre,2020",BancoBCP,3,Pisos:Entre3al11,3,73.22m2,"$133,000",8,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1545-nueva-aurora-2/planos-nueva-aurora-2-5d7449615a13a_s.png,"Lobby,	Sala Bar,Sala de usos Múltiples,Techo Panorámico,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Nueva Aurora 2,Surquillo,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1545-nueva-aurora-2-surquillo-lima-lima-vienna-grupo-inmobiliario,Av Sergio Bernales 272 Barrio Médico.Barrio Medico - Surquillo,Departamento,Enconstrucción,"30deNoviembre,2020",BancoBCP,4,Pisos:Entre12al18,3,75.81m2,"$137,500",7,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1545-nueva-aurora-2/planos-nueva-aurora-2-5d7449811231b_s.png,"Lobby,	Sala Bar,Sala de usos Múltiples,Techo Panorámico,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Nueva Aurora 2,Surquillo,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1545-nueva-aurora-2-surquillo-lima-lima-vienna-grupo-inmobiliario,Av Sergio Bernales 272 Barrio Médico.Barrio Medico - Surquillo,Departamento,Enconstrucción,"30deNoviembre,2020",BancoBCP,5,"Pisos:13,16,17,18",1,54.13m2,"$99,900",4,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1545-nueva-aurora-2/planos-nueva-aurora-2-5d7449a4d8991_s.png,"Lobby,	Sala Bar,Sala de usos Múltiples,Techo Panorámico,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Nueva Aurora 2,Surquillo,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1545-nueva-aurora-2-surquillo-lima-lima-vienna-grupo-inmobiliario,Av Sergio Bernales 272 Barrio Médico.Barrio Medico - Surquillo,Departamento,Enconstrucción,"30deNoviembre,2020",BancoBCP,6,Pisos:17y18,2,69.48m2,"$127,000",2,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1545-nueva-aurora-2/planos-nueva-aurora-2-5d7449d62e80e_s.png,"Lobby,	Sala Bar,Sala de usos Múltiples,Techo Panorámico,Terraza,Video vigilancia,Zona de Parrillas,Otros,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Residencial Las Tradiciones,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1554-residencial-las-tradiciones-miraflores-lima-lima-vienna-grupo-inmobiliario,Av Ricardo Palma 620 MirafloresSan Antonio - Miraflores,Departamento,Enplanos,"30deDiciembre,2020",BancoBCP,1,Piso:,2,130.21m2,"$218,900",1,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1554-residencial-las-tradiciones/planos-residencial-las-tradiciones-5d77b58646afa_s.png,"Cuarto servicio,Lobby,Zona de Lavandería,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Residencial Las Tradiciones,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1554-residencial-las-tradiciones-miraflores-lima-lima-vienna-grupo-inmobiliario,Av Ricardo Palma 620 MirafloresSan Antonio - Miraflores,Departamento,Enplanos,"30deDiciembre,2020",BancoBCP,2,Piso:,2,122.00m2,"$209,500",1,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1554-residencial-las-tradiciones/planos-residencial-las-tradiciones-5d77b5a7acd3b_s.png,"Cuarto servicio,Lobby,Zona de Lavandería,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Residencial Las Tradiciones,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1554-residencial-las-tradiciones-miraflores-lima-lima-vienna-grupo-inmobiliario,Av Ricardo Palma 620 MirafloresSan Antonio - Miraflores,Departamento,Enplanos,"30deDiciembre,2020",BancoBCP,6,Piso:1,3,120.45m2,"$238,800",1,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1554-residencial-las-tradiciones/planos-residencial-las-tradiciones-5db87554f241f_s.png,"Cuarto servicio,Lobby,Zona de Lavandería,"
Vienna Grupo Inmobiliario,"Tenemos 3 lindos edificios. Uno de entrega Inmediata en Sergio Bernales 396. Barrio Médico. Surquillo y 2 lanzamientos. Nueva Aurora 2, a solo una cuadra de Nueva Aurora en Sergio Bernales 272. Barrio Médico. Surquillo y en Miraflores Residencial Las Tradiciones en Ricardo Palma 620. Miraflores. A solo 2 cuadras del parque tradiciones y de la vía expresa. Visitanos!",https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/logo-209-20190824170408.png,https://nexoinmobiliario.pe/inmobiliaria/vienna-constructores-sa,Residencial Las Tradiciones,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1554-residencial-las-tradiciones-miraflores-lima-lima-vienna-grupo-inmobiliario,Av Ricardo Palma 620 MirafloresSan Antonio - Miraflores,Departamento,Enplanos,"30deDiciembre,2020",BancoBCP,7,"Pisos:3,5,6",3,121.91m2,"$245,800",3,https://dp34qvsykz8fe.cloudfront.net/customers/vienna-constructores-sa/1554-residencial-las-tradiciones/planos-residencial-las-tradiciones-5d77b5dfce049_s.png,"Cuarto servicio,Lobby,Zona de Lavandería,"
